userID,userName,ActivityName,ActivityDate,item,value,duration,type,level,static_data,activity,timestamp,totalDuration
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I feel anxious""","""2""",1010,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I cannot stop worrying""","""0""",3534,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I am worrying too much about different things""","""2""",5586,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I have trouble relaxing""","""1""",7917,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I feel so restless it's hard to sit still""","""1""",9975,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I am easily annoyed or irritable""","""0""",12326,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/17/2023, 8:11:57 PM","""Today I feel afraid something awful might happen""","""3""",14423,null,null,{},"""azvvr0p1f9g63j2qxaew""",1700269917139,15108
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Has your sleep been more restless or unsettled over the last 2 weeks?""","""Yes""",988,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you felt more tense, afraid, or unsettled over the last 2 weeks?""","""Yes""",3143,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you had more difficulty concentrating over the last two weeks?""","""Yes""",4926,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you felt more irritable or quick tempered over the last two weeks?""","""Yes""",7525,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you felt more unable to cope or had more difficulty in managing everyday tasks and interests over the last 2 weeks?""","""Yes""",9958,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you felt more tired or lacking energy over the last 2 weeks?""","""Yes""",11911,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you felt more depressed or low over the last 2 weeks?""","""Yes""",13889,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Warning Signal Scale (WSS),"11/13/2023, 6:21:47 PM","""Have you felt more confused or puzzled over the last 2 weeks?""","""Yes""",16001,null,null,{},"""cbm4e3yrnevs6800n1zd""",1699917707721,16529
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I feel anxious""","""2""",913,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I cannot stop worrying""","""1""",9402,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I am worrying too much about different things""","""2""",5769,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I have trouble relaxing""","""2""",9001,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I feel so restless it's hard to sit still""","""2""",11236,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I am easily annoyed or irritable""","""2""",13379,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,Generalized Anxiety Disorder-7 (GAD-7),"11/13/2023, 6:21:26 PM","""Today I feel afraid something awful might happen""","""1""",15779,null,null,{},"""azvvr0p1f9g63j2qxaew""",1699917686786,16708
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",1,null,0,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",2,null,1696,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",3,null,1331,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",4,null,1682,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",5,null,1016,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",6,null,430,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",7,null,431,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
U1679776962,Main Group,BJeweled,"11/13/2023, 6:20:58 PM",8,null,418,true,1,"{""point"":1,""score"":""100.00"",""total_attempts"":15,""total_bonus_collected"":80,""total_jewels_collected"":15}","""760q4349828x0ynf0f7f""",1699917658426,13782
